,Exajoules (input-equivalent),1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Growth rate 2022-2021 in %,Growth rate 2022-2012 in %,Share 2022 in %
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.02,0.01,0.02,0.02,0.02,0.03,0.02,0.02,0.03,0.03,0.04,0.05,0.05,0.05,0.06,0.07,0.08,0.09,0.09,0.11,0.11,0.11,0.12,0.13,0.12,0.13,0.13,0.14,0.16,0.16,0.2,0.25,0.28,0.32,0.33,0.34,0.48,0.54,0.55,0.56,0.56,0.57,0.58,0.59,2.2,6.2,1.3
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.03,0.05,0.05,0.05,0.05,0.06,0.07,0.07,0.06,0.07,0.06,0.06,0.06,0.06,0.07,0.07,0.07,0.07,0.08,0.09,0.08,0.09,0.08,0.08,0.09,0.09,0.11,0.12,0.14,0.17,0.18,0.2,0.23,0.33,0.41,0.46,0.45,-2.2,15.3,1.0
3,0.0,0.15,0.16,0.16,0.18,0.19,0.19,0.19,0.21,0.23,0.23,0.22,0.25,0.27,0.28,0.29,0.3,0.31,0.3,0.33,0.4,0.41,0.43,0.48,0.47,0.57,0.73,0.78,0.84,0.88,0.89,0.86,0.85,0.88,0.88,0.91,0.95,0.97,1.09,1.15,1.25,1.34,1.57,1.79,2.22,2.51,2.89,3.25,3.5,3.99,4.3,4.53,5.13,5.6,5.88,6.2,6.65,7.47,8.43,12.8,9.2,18.7
4,0.0,0.15,0.16,0.16,0.18,0.19,0.19,0.19,0.21,0.23,0.24,0.23,0.27,0.28,0.3,0.32,0.32,0.34,0.33,0.37,0.44,0.44,0.49,0.55,0.55,0.65,0.83,0.89,0.96,1.0,1.02,1.01,1.0,1.03,1.06,1.09,1.13,1.16,1.28,1.35,1.45,1.56,1.79,2.04,2.47,2.8,3.22,3.63,3.94,4.44,4.78,5.18,5.85,6.35,6.67,7.09,7.64,8.5,9.46,11.3,9.2,20.9
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.04,0.05,0.06,0.06,0.07,0.08,0.08,0.09,0.09,0.14,0.16,0.21,0.24,15.3,15.2,0.5
7,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.04,0.06,0.08,0.09,0.09,0.11,0.16,0.19,0.23,0.29,0.29,0.3,0.33,0.31,0.32,0.32,0.34,0.36,0.38,0.4,0.4,0.4,0.41,0.36,0.36,0.39,0.4,0.44,0.46,0.47,0.6,0.77,0.85,1.0,0.96,0.99,1.16,1.34,1.58,1.64,1.76,1.98,2.18,2.2,2.36,2.53,7.2,9.8,5.6
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.04,0.04,0.04,0.05,0.07,0.08,0.08,0.1,0.13,0.16,0.19,0.2,0.21,0.25,0.29,18.6,15.0,0.7
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.03,0.03,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.06,0.06,0.06,0.07,0.07,2.4,5.3,0.2
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-3.8,5.5,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.04,0.04,0.05,0.05,0.05,0.05,2.7,9.4,0.1
