Country,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Growth rate 2022-2021 in %,Growth rate 2022-2012 in %,Share 2022 in %
Canada,1.26,1.39,1.43,1.45,1.6,1.68,1.73,1.93,2.07,2.24,2.16,2.26,2.34,2.5,2.6,2.67,2.83,2.74,2.83,3.05,3.23,3.31,3.37,3.27,3.09,3.15,3.27,3.36,3.43,3.49,3.56,3.77,3.71,3.52,3.67,3.8,3.51,3.67,3.51,3.51,3.73,3.61,3.74,3.82,3.71,3.51,3.73,3.75,3.84,3.73,3.71,3.71,3.78,3.68,3.62,3.65,3.61,3.7,3.7,0.0,9.2
Mexico,0.09,0.11,0.12,0.13,0.14,0.16,0.16,0.17,0.17,0.18,0.16,0.18,0.2,0.17,0.19,0.18,0.26,0.24,0.22,0.25,0.3,0.23,0.21,0.23,0.27,0.26,0.24,0.29,0.28,0.22,0.29,0.33,0.28,0.26,0.35,0.35,0.3,0.26,0.21,0.26,0.29,0.31,0.28,0.4,0.27,0.37,0.36,0.31,0.27,0.38,0.3,0.3,0.31,0.31,0.22,0.25,0.33,0.3,2.1,0.6,0.8
US,2.12,2.13,2.42,2.43,2.73,2.7,2.9,2.97,2.96,3.27,3.26,3.09,2.4,3.05,3.04,3.0,2.84,3.36,3.61,3.49,3.06,3.16,2.72,2.43,2.92,3.11,3.06,2.68,2.97,2.76,3.31,3.7,3.79,3.43,3.37,2.9,2.22,2.71,2.82,2.72,2.75,2.92,2.47,2.54,2.73,2.57,3.14,2.7,2.62,2.49,2.39,2.54,2.84,2.76,2.71,2.67,2.35,2.4,3.5,-1.1,6.0
Total North America,3.47,3.63,3.96,4.01,4.47,4.54,4.78,5.07,5.21,5.69,5.58,5.53,4.95,5.72,5.83,5.86,5.93,6.35,6.66,6.78,6.59,6.69,6.29,5.94,6.29,6.52,6.57,6.32,6.69,6.47,7.16,7.81,7.78,7.21,7.39,7.05,6.03,6.64,6.54,6.5,6.76,6.85,6.49,6.76,6.71,6.45,7.23,6.77,6.73,6.6,6.39,6.55,6.93,6.74,6.56,6.58,6.28,6.5,3.5,-0.4,16.0
Argentina,0.01,0.01,0.01,0.02,0.01,0.02,0.02,0.02,0.03,0.05,0.06,0.05,0.06,0.08,0.11,0.16,0.16,0.19,0.2,0.21,0.22,0.22,0.23,0.16,0.14,0.19,0.17,0.2,0.25,0.29,0.28,0.24,0.3,0.28,0.23,0.3,0.39,0.38,0.35,0.32,0.35,0.39,0.32,0.32,0.35,0.33,0.31,0.29,0.32,0.32,0.31,0.29,0.3,0.31,0.26,0.22,0.19,0.2,21.1,-2.5,0.6
Brazil,0.27,0.3,0.31,0.33,0.35,0.42,0.46,0.54,0.62,0.7,0.77,0.88,1.0,1.09,1.24,1.37,1.39,1.5,1.61,1.77,1.9,1.94,1.98,2.12,2.18,2.2,2.32,2.38,2.5,2.58,2.7,2.83,2.97,3.1,3.12,3.24,2.83,3.01,3.19,3.33,3.48,3.57,3.81,3.74,3.93,4.03,4.25,4.1,3.84,3.64,3.49,3.67,3.55,3.7,3.78,3.75,3.42,4.0,17.3,-0.2,9.9
Chile,0.04,0.04,0.05,0.04,0.04,0.05,0.05,0.06,0.06,0.07,0.07,0.07,0.07,0.08,0.08,0.08,0.09,0.09,0.1,0.11,0.12,0.13,0.14,0.13,0.11,0.1,0.14,0.18,0.18,0.18,0.2,0.18,0.2,0.17,0.14,0.2,0.23,0.24,0.24,0.22,0.26,0.29,0.23,0.25,0.25,0.22,0.2,0.2,0.2,0.22,0.23,0.19,0.2,0.22,0.2,0.21,0.17,0.2,22.7,0.5,0.5
Colombia,0.04,0.04,0.05,0.05,0.06,0.06,0.07,0.08,0.08,0.09,0.1,0.11,0.11,0.13,0.14,0.15,0.15,0.16,0.16,0.18,0.2,0.23,0.25,0.26,0.29,0.29,0.3,0.24,0.3,0.34,0.34,0.38,0.34,0.33,0.36,0.33,0.33,0.36,0.38,0.4,0.4,0.44,0.45,0.47,0.41,0.41,0.48,0.47,0.44,0.44,0.43,0.45,0.55,0.54,0.52,0.47,0.57,0.6,6.0,2.5,1.5
Ecuador,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.03,0.03,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.07,0.05,0.07,0.07,0.07,0.08,0.08,0.07,0.08,0.07,0.08,0.07,0.07,0.09,0.11,0.09,0.09,0.11,0.12,0.11,0.11,0.13,0.15,0.19,0.2,0.23,0.23,0.24,0.2,-4.0,6.7,0.6
Peru,0.03,0.03,0.03,0.04,0.04,0.04,0.05,0.05,0.05,0.06,0.06,0.06,0.06,0.07,0.07,0.07,0.09,0.09,0.09,0.09,0.1,0.11,0.12,0.11,0.11,0.11,0.12,0.1,0.13,0.14,0.14,0.14,0.14,0.15,0.15,0.17,0.19,0.19,0.19,0.18,0.19,0.2,0.2,0.19,0.2,0.2,0.21,0.22,0.22,0.22,0.23,0.23,0.28,0.29,0.3,0.29,0.3,0.3,-7.2,2.5,0.7
Trinidad & Tobago,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Venezuela,0.01,0.01,0.02,0.03,0.03,0.04,0.06,0.06,0.07,0.08,0.1,0.11,0.13,0.13,0.15,0.16,0.16,0.17,0.19,0.22,0.24,0.27,0.33,0.36,0.37,0.39,0.47,0.5,0.51,0.55,0.55,0.57,0.61,0.62,0.65,0.67,0.64,0.63,0.63,0.73,0.79,0.83,0.85,0.88,0.86,0.77,0.83,0.81,0.8,0.78,0.72,0.61,0.67,0.62,0.6,0.64,0.64,0.6,-2.2,-2.5,1.5
Central America,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.05,0.06,0.06,0.06,0.07,0.07,0.08,0.1,0.1,0.11,0.12,0.12,0.12,0.11,0.13,0.12,0.12,0.14,0.14,0.14,0.16,0.16,0.15,0.15,0.16,0.17,0.18,0.18,0.18,0.2,0.19,0.21,0.21,0.22,0.21,0.21,0.22,0.22,0.26,0.26,0.2,0.25,0.28,0.3,5.6,3.0,0.7
Other Caribbean,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.02,0.02,0.02,0.02,0.03,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.02,0.01,0.02,0.03,0.02,0.01,0.02,0.02,0.02,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.03,0.02,0.02,0.02,0.02,0.0,-3.2,-2.5,0.0
Other South America,0.01,0.02,0.03,0.03,0.03,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.06,0.05,0.06,0.07,0.08,0.11,0.2,0.26,0.27,0.31,0.37,0.39,0.39,0.43,0.49,0.54,0.57,0.64,0.67,0.65,0.68,0.62,0.65,0.67,0.63,0.63,0.63,0.67,0.65,0.64,0.66,0.67,0.68,0.71,0.67,0.65,0.72,0.68,0.67,0.59,0.52,0.48,0.5,6.7,-3.0,1.2
Total S. & Cent. America,0.44,0.49,0.52,0.55,0.59,0.7,0.78,0.88,0.99,1.14,1.23,1.38,1.52,1.68,1.91,2.14,2.18,2.34,2.52,2.78,3.02,3.26,3.48,3.61,3.7,3.84,4.1,4.17,4.51,4.77,4.94,5.13,5.42,5.54,5.56,5.86,5.46,5.69,5.9,6.06,6.38,6.63,6.81,6.82,6.95,6.93,7.3,7.13,6.87,6.62,6.43,6.55,6.72,6.83,6.7,6.59,6.3,7.0,11.2,-0.2,17.2
Austria,0.17,0.18,0.19,0.19,0.18,0.23,0.18,0.18,0.2,0.24,0.25,0.22,0.27,0.27,0.3,0.31,0.33,0.33,0.33,0.29,0.33,0.33,0.38,0.38,0.37,0.34,0.33,0.37,0.39,0.38,0.39,0.36,0.38,0.4,0.43,0.45,0.43,0.42,0.35,0.38,0.38,0.37,0.38,0.39,0.41,0.38,0.34,0.43,0.41,0.4,0.36,0.39,0.37,0.36,0.39,0.4,0.37,0.3,-8.6,-2.6,0.8
Belgium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.8,-1.7,0.0
Bulgaria,0.02,0.02,0.02,0.01,0.02,0.02,0.02,0.02,0.03,0.02,0.03,0.03,0.04,0.03,0.04,0.04,0.04,0.03,0.04,0.03,0.02,0.02,0.03,0.03,0.03,0.02,0.03,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.03,0.03,0.04,0.04,0.03,0.03,0.03,0.05,0.03,0.03,0.04,0.04,0.05,0.04,0.03,0.05,0.03,0.03,0.05,0.0,-22.1,1.1,0.1
Croatia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.06,0.05,0.05,0.06,0.06,0.08,0.06,0.06,0.08,0.07,0.08,0.06,0.06,0.08,0.07,0.07,0.05,0.06,0.07,0.09,0.05,0.05,0.08,0.09,0.06,0.07,0.05,0.07,0.06,0.05,0.07,0.1,-24.2,0.6,0.1
