Natural Gas: Consumption*,,,,,,,,,Contents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Growth rate per annum,,Share
Exajoules,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2022,2012-22,2022
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,0.78,0.85,0.91,1.01,1.13,1.25,1.33,1.50,1.59,1.61,1.66,1.68,1.76,1.78,1.80,1.79,1.74,1.84,1.75,1.95,2.04,1.97,1.99,2.19,2.37,2.30,2.31,2.45,2.60,2.69,2.78,2.83,2.88,2.84,3.03,3.21,3.03,3.15,3.23,3.16,3.15,3.13,3.37,3.33,3.23,3.30,3.62,3.58,3.80,3.95,3.97,3.79,3.95,4.18,4.21,4.09,4.21,4.38,4.0%,2.1%,3.1%
Mexico,0.29,0.31,0.26,0.28,0.35,0.36,0.37,0.40,0.44,0.46,0.47,0.46,0.49,0.62,0.75,0.80,0.87,0.94,0.97,0.97,0.99,0.88,0.90,0.91,0.89,0.97,1.02,1.02,1.02,1.08,1.10,1.13,1.13,1.21,1.22,1.29,1.30,1.48,1.60,1.73,1.90,2.10,2.05,2.16,2.35,2.38,2.55,2.65,2.80,2.84,2.91,2.99,3.10,3.25,3.36,3.40,3.50,3.48,-0.8%,2.8%,2.5%
US,14.97,16.14,17.04,18.24,19.63,20.70,21.34,21.55,21.38,20.64,18.94,19.32,18.93,18.99,19.62,19.21,18.75,17.43,16.35,17.47,16.81,15.75,16.75,17.52,18.61,18.61,19.02,19.67,20.16,20.63,21.53,21.92,22.05,21.68,21.75,22.62,21.62,22.32,21.68,21.77,21.43,21.12,22.47,22.64,22.23,23.33,23.70,24.77,25.45,26.00,26.77,26.97,26.64,29.59,30.64,29.98,30.09,31.72,5.4%,2.5%,22.4%
Total North America,16.04,17.30,18.21,19.53,21.11,22.30,23.04,23.45,23.41,22.71,21.08,21.46,21.17,21.38,22.17,21.81,21.36,20.21,19.07,20.38,19.84,18.60,19.64,20.62,21.87,21.87,22.35,23.14,23.78,24.41,25.41,25.87,26.07,25.72,26.00,27.13,25.95,26.95,26.51,26.66,26.48,26.35,27.89,28.13,27.81,29.01,29.86,31.00,32.05,32.79,33.65,33.74,33.69,37.02,38.21,37.48,37.80,39.58,4.7%,2.5%,27.9%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,0.15,0.16,0.17,0.19,0.19,0.21,0.23,0.26,0.29,0.31,0.32,0.35,0.37,0.36,0.37,0.40,0.42,0.48,0.52,0.55,0.56,0.61,0.61,0.71,0.74,0.71,0.72,0.78,0.83,0.85,0.94,1.08,1.00,1.07,1.13,1.16,1.09,1.06,1.21,1.33,1.41,1.46,1.54,1.55,1.51,1.52,1.58,1.64,1.66,1.66,1.68,1.74,1.74,1.75,1.68,1.58,1.65,1.64,-0.5%,♦,1.2%
Brazil,^,^,^,^,^,^,^,0.01,0.01,0.01,0.02,0.02,0.02,0.03,0.03,0.04,0.03,0.05,0.06,0.07,0.09,0.11,0.12,0.12,0.12,0.11,0.12,0.13,0.16,0.17,0.19,0.21,0.23,0.24,0.28,0.35,0.44,0.52,0.58,0.70,0.72,0.76,0.78,0.92,0.74,0.99,0.99,1.17,1.38,1.46,1.55,1.34,1.35,1.29,1.29,1.13,1.46,1.15,-20.9%,-0.2%,0.8%
Chile,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.06,0.06,0.07,0.08,0.08,0.08,0.07,0.08,0.10,0.14,0.20,0.25,0.29,0.29,0.31,0.34,0.33,0.30,0.18,0.10,0.10,0.21,0.21,0.19,0.19,0.16,0.17,0.21,0.20,0.20,0.23,0.22,0.25,0.27,9.3%,3.5%,0.2%
