id,country,year,primary_energy_consumption,co2_emissions,percapita_consumption,coal_consumption,gas_consumption,geothermal_consumption,hydro_consumption,nuclear_consumption,oil_consumption,renewable_consumption,wind_consumption
1,Algeria,1965,0.09,5.6,7.2,0,0.03,0,0,0,0.06,0,0
2,Algeria,1966,0.11,6.9,8.5,0,0.03,0,0,0,0.07,0,0
3,Algeria,1967,0.1,6.4,7.9,0,0.03,0,0,0,0.07,0,0
4,Algeria,1968,0.11,6.8,8.3,0,0.03,0,0.01,0,0.07,0,0
5,Algeria,1969,0.12,7.6,8.9,0,0.04,0,0,0,0.08,0,0
6,Algeria,1970,0.13,8.3,9.6,0,0.04,0,0.01,0,0.09,0,0
7,Algeria,1971,0.14,8.9,10.1,0,0.04,0,0,0,0.1,0,0
8,Algeria,1972,0.16,10,11.1,0,0.05,0,0.01,0,0.11,0,0
9,Algeria,1973,0.19,11.6,13,0,0.06,0,0.01,0,0.12,0,0
10,Algeria,1974,0.21,13,14,0,0.07,0,0.01,0,0.13,0,0
11,Algeria,1975,0.25,15.5,16.1,0,0.1,0,0,0,0.15,0,0
12,Algeria,1976,0.3,17.9,17.9,0,0.12,0,0,0,0.17,0,0
13,Algeria,1977,0.32,19.3,19,0,0.13,0,0,0,0.19,0,0
14,Algeria,1978,0.41,24.5,23.1,0,0.21,0,0,0,0.2,0,0
15,Algeria,1979,0.53,32.1,29.4,0,0.29,0,0,0,0.24,0,0
16,Algeria,1980,0.64,38.5,34,0,0.39,0,0,0,0.24,0,0
17,Algeria,1981,0.77,46.3,40,0,0.51,0,0,0,0.26,0,0
18,Algeria,1982,0.89,54.3,44.7,0.03,0.58,0,0.01,0,0.27,0,0
19,Algeria,1983,0.98,59,47.2,0.03,0.64,0,0,0,0.31,0,0
20,Algeria,1984,0.94,57,43.8,0.03,0.56,0,0,0,0.34,0,0
21,Algeria,1985,0.94,57.6,42.7,0.04,0.55,0,0.01,0,0.35,0,0
22,Algeria,1986,1,61,43.7,0.04,0.61,0,0,0,0.35,0,0
